camera_traseira;velocidade_do_processador;url;chips;resolucao;tamanho_da_tela;modelo;memoria_ram;linha;preco;camera_frontal;marca;memoria_interna
13.0 megapixels;1.3;http://www.buscape.com.br/smartphone-sony-xperia-e5;single;1280 x 720;5.0;e5;;xperia;743.91;5.0 megapixels frontal;sony;1.5
13.0 megapixels;1.3;http://www.buscape.com.br/smartphone-quantum-go-4g-16gb;dual;1280 x 720;5.0;go 4g 16gb;;;649.0;5.0 megapixels frontal;quantum;16.0
8.0 megapixels;;http://www.buscape.com.br/smartphone-tp-link-neffos-y5;dual;1280 x 720;5.0;neffos y5;2.0;;579.96;2.0 megapixels frontal;tp-link;16.0
12.0 megapixels;2.0;http://www.buscape.com.br/smartphone-asus-zenfone-3-zoom-32gb;dual;1920 x 1080;5.5;3 zoom 32gb;3.0;zenfone;1709.91;13.0 megapixels frontal;asus;32.0
;;http://www.buscape.com.br/celular-ipro-i3200;;176 x 220;2.0;i3200;;;64.9;;ipro;
13.0 megapixels;1.8;http://www.buscape.com.br/smartphone-motorola-moto-z-xt1650-hasselblad-edition;dual;2560 x 1440;5.5;xt1650 hasselblad edition;4.0;moto z;2463.91;5.0 megapixels frontal;motorola;64.0
8.0 megapixels;1.3;http://www.buscape.com.br/smartphone-multilaser-ms55;;;5.5;ms55;;;551.96;5.0 megapixels frontal;multilaser;8.0
1.3 megapixels;;http://www.buscape.com.br/celular-blu-zoey-ii-t276;dual;128 x 160;1.8;zoey ii t276;;;119.0;;blu;
;;http://www.buscape.com.br/celular-bright-one-0406;;;;one 0406;;;81.09;;bright;
12.0 megapixels;2.0;http://www.buscape.com.br/smartphone-asus-zenfone-3-zoom-128gb;dual;1920 x 1080;5.5;3 zoom 128gb;4.0;zenfone;2176.83;13.0 megapixels frontal;asus;128.0
;;http://www.buscape.com.br/celular-samsung-keystone-2-gt-e1205;;128 x 128;1.52;2 gt-e1205;;keystone;98.99;;samsung;
12.0 megapixels;;http://www.buscape.com.br/smartphone-apple-iphone-7-plus-128gb-special-edition-red;single;1920 x 1080;5.5;7 plus 128gb;2.0;iphone;3958.71;7 megapixels frontal;apple;128.0
;;http://www.buscape.com.br/smartphone-asus-zenfone-3-deluxe-zs570kl;;;;3 deluxe zs570kl;;zenfone;3138.14;;asus;
1.3 megapixels;;http://www.buscape.com.br/celular-multilaser-view-2;dual;240 x 320;2.4;view 2;;;122.9;;multilaser;
16.0 megapixels;;http://www.buscape.com.br/smartphone-multilaser-ms70;;;5.8;ms70;3.0;;1139.05;8.0 megapixels frontal;multilaser;32.0
;;http://www.buscape.com.br/smartphone-asus-zenfone-2-laser-32gb;;;;2 laser 32gb;;zenfone;1039.9;;asus;
;;http://www.buscape.com.br/smartphone-lg-k5-x220;;;;k5 x220;;;430.0;;lg;
8.0 megapixels;1.0;http://www.buscape.com.br/smartphone-qbex-flix;;1280 x 720;5.0;flix;1.0;;344.4;5.0 megapixels frontal;qbex;8.0
13.0 megapixels;1.3;http://www.buscape.com.br/smartphone-quantum-go-2;dual;;5.0;go 2;3.0;;999.0;13.0 megapixels frontal;quantum;32.0
;;http://www.buscape.com.br/smartphone-positivo-life-s421;;;;life s421;;;299.0;;positivo;
13.0 megapixels;2.5;http://www.buscape.com.br/smartphone-lg-g3-d855;;2560 x 1440;5.5;d855;;g3;1289.25;2.1 megapixels frontal;lg;16.0
13.0 megapixels;1.4;http://www.buscape.com.br/smartphone-motorola-moto-g-3-geracao-xt1543-16gb;dual;1280 x 720;5.0;3ª geração xt1543 16gb;1.0;moto g;1019.92;5.0 megapixels frontal;motorola;16.0
16.0 megapixels;2.1;http://www.buscape.com.br/smartphone-samsung-galaxy-s6-sm-g920-32gb;;2560 x 1440;5.1;s6 sm-g920 32gb;3.0;galaxy;1799.9;5.0 megapixels frontal;samsung;32.0
21 megapixels;1.7;http://www.buscape.com.br/smartphone-motorola-moto-x-play-xt1563-32gb;dual;;5.5;play xt1563 32gb;2.0;moto x;1599.0;5.0 megapixels frontal;motorola;32.0
8.0 megapixels;1.3;http://www.buscape.com.br/smartphone-samsung-galaxy-gran-prime-sm-g531;dual;960 x 540;5.0;sm-g531;1.0;galaxy gran prime;721.05;5.0 megapixels frontal;samsung;8.0
21 megapixels;2.7;http://www.buscape.com.br/smartphone-motorola-moto-maxx-xt1225;single;2560 x 1440;5.2;xt1225;;moto maxx;1798.92;2.0 megapixels frontal;motorola;64.0
8.0 megapixels;1.2;http://www.buscape.com.br/smartphone-microsoft-lumia-640;dual;1280 x 720;5.0;640;;lumia;609.9;0.9 megapixels frontal;microsoft;8.0
5.0 megapixels;1.3;http://www.buscape.com.br/smartphone-samsung-galaxy-j2-sm-j200m;dual;540 x 960;4.7;j2 sm-j200m;1.0;galaxy;659.0;2.0 megapixels frontal;samsung;8.0
13.0 megapixels;2.3;http://www.buscape.com.br/smartphone-asus-zenfone-2-ze551ml-16gb-z3580;dual;1920 x 1080;5.5;2 ze551ml 16gb z3580;4.0;zenfone;1212.9;5.0 megapixels frontal;asus;16.0
13.0 megapixels;1.7;http://www.buscape.com.br/smartphone-asus-zenfone-selfie;dual;1920 x 1080;5.5;selfie;3.0;zenfone;1399.0;13.0 megapixels frontal;asus;32.0
5.0 megapixels;1.2;http://www.buscape.com.br/smartphone-samsung-galaxy-gran-neo-duos-gt-i9063t;dual;480 x 800;;duos gt-i9063t;;galaxy gran neo;949.05;1.3 megapixels frontal;samsung;8.0
21 megapixels;;http://www.buscape.com.br/smartphone-motorola-moto-x-style;dual;2560 x 1440;5.7;style;;moto x;2699.9;5.0 megapixels frontal;motorola;32.0
5.0 megapixels;1.2;http://www.buscape.com.br/smartphone-samsung-galaxy-core-plus-sm-g3502;;480 x 800;4.3;plus sm-g3502;;galaxy core;654.55;vga;samsung;4.0
8.0 megapixels;1.3;http://www.buscape.com.br/smartphone-asus-live;dual;1280 x 720;5.0;live;;;802.32;5.0 megapixels frontal;asus;16.0
8.0 megapixels;;http://www.buscape.com.br/smartphone-apple-iphone-6-plus-128gb;single;1920 x 1080;5.5;6 plus 128gb;1.0;iphone;2771.12;1.2 megapixels frontal;apple;128.0
16.0 megapixels;3.6;http://www.buscape.com.br/smartphone-samsung-galaxy-note-5-sm-n920-32gb;;2560 x 1440;5.7;5 sm-n920 32gb;;galaxy note;3322.92;5.0 megapixels frontal;samsung;32.0
5.0 megapixels;1.2;http://www.buscape.com.br/smartphone-microsoft-lumia-532;dual;800 x 480;4.0;532;;lumia;304.88;0.3 megapixels frontal;microsoft;8.0
5.0 megapixels;1.2;http://www.buscape.com.br/smartphone-lg-joy-h222;dual;800 x 480;4.0;h222;;joy;999.0;1.3 megapixels frontal;lg;4.0
13.0 megapixels;1.3;http://www.buscape.com.br/smartphone-quantum-go-4g-32gb;dual;1280 x 720;5.0;go 4g 32gb;;;749.0;5.0 megapixels frontal;quantum;32.0
5.0 megapixels;;http://www.buscape.com.br/smartphone-motorola-moto-e-xt1021;single;540 x 960;4.3;xt1021;;moto e;499.0;;motorola;1.0
5.0 megapixels;1.0;http://www.buscape.com.br/smartphone-alcatel-pixi-3-4;dual;480 x 854;4.0;pixi 3 (4);;;349.99;1.3 megapixels frontal;alcatel;4.0
5.0 megapixels;1.2;http://www.buscape.com.br/smartphone-nokia-lumia-635;;;4.5;635;;lumia;499.87;;nokia;8.0
3.2 megapixels;1.3;http://www.buscape.com.br/smartphone-positivo-one-s420;dual;800 x 480;4.0;one s420;0.5;;278.0;1.3 megapixels frontal;positivo;8.0
5.0 megapixels;1.0;http://www.buscape.com.br/smartphone-motorola-razr-d1-xt915;single;320 x 480;3.5;d1 xt915;;razr;409.0;;motorola;4.0
5.0 megapixels;;http://www.buscape.com.br/smartphone-lenovo-vibe-k5-edicao-especial;dual;1920 x 1080;5.0;vibe k5 edição especial;2.0;;816.99;13.0 megapixels frontal;lenovo;16.0
;;http://www.buscape.com.br/smartphone-multilaser-ms6;;;;ms6;;;506.15;;multilaser;
8.0 megapixels;1.3;http://www.buscape.com.br/smartphone-lg-prime-plus-h502;dual;1280 x 720;5.0;h502;;prime plus;721.05;5.0 megapixels frontal;lg;8.0
vga;;http://www.buscape.com.br/celular-alcatel-one-touch-ot-1041;;128 x 160;1.8;one touch ot 1041;;;89.9;;alcatel;
8.0 megapixels;1.3;http://www.buscape.com.br/smartphone-alcatel-pop-3-5-5016j;dual;480 x 854;5.0;pop 3(5) 5016j;;;519.15;;alcatel;8.0
13.0 megapixels;1.2;http://www.buscape.com.br/smartphone-lg-x-screen-k500;;;4.93;x screen k500;2.0;;1299.99;8.0 megapixels frontal;lg;16.0
5.0 megapixels;;http://www.buscape.com.br/smartphone-blackberry-curve-9360;;480 x 360;2.44;9360;;curve;419.0;;blackberry;
2 megapixels;;http://www.buscape.com.br/smartphone-blu-dash-jr-d141w;dual;320 x 480;3.5;d141w;;dash jr;294.88;;blu;
8.0 megapixels;1.5;http://www.buscape.com.br/smartphone-blackberry-q10;single;720 x 720;3.1;q10;;;1999.0;2.0 megapixels frontal;blackberry;
5.0 megapixels;;http://www.buscape.com.br/smartphone-lg-gm750;single;240 x 400;3.0;gm750;;;209.9;;lg;
;;http://www.buscape.com.br/celular-multilaser-plus;;;1.8;plus;;;77.89;;multilaser;4.0
;;http://www.buscape.com.br/smartphone-alcatel-pixi-4-3-5-4017;;;;pixi 4 (3.5) 4017;;;269.9;;alcatel;
8.0 megapixels;1.2;http://www.buscape.com.br/smartphone-alcatel-pop-2-4-5;single;480 x 854;4.5;pop 2 (4.5);;;711.55;1.3 megapixels frontal;alcatel;
;;http://www.buscape.com.br/smartphone-blu-studio-c-mini-d670l;;;;c mini d670l;;studio;616.55;;blu;
0.3 megapixels;;http://www.buscape.com.br/celular-huawei-g6005;dual;320 x 240;1.77;g6005;;;189.9;;huawei;
13.0 megapixels;1.8;http://www.buscape.com.br/smartphone-motorola-moto-z-xt1650-power-and-projector-edition;dual;2560 x 1440;5.5;xt1650;4.0;moto z;3519.12;5.0 megapixels frontal;motorola;64.0
23 megapixels;;http://www.buscape.com.br/smartphone-sony-xperia-x;single;1920 x 1080;5.0;x;3.0;xperia;1499.0;13.0 megapixels frontal;sony;32.0
13.0 megapixels;2.0;http://www.buscape.com.br/smartphone-lg-g-flex-2-h955-16gb;;1920 x 1080;5.5;2 h955 16gb;;g flex;1699.0;2.0 megapixels frontal;lg;16.0
;;http://www.buscape.com.br/smartphone-positivo-next-x500;;;;x500;;next;499.0;;positivo;
;;http://www.buscape.com.br/celular-positivo-p20;;;;p20;;;79.9;;positivo;
8.0 megapixels;1.3;http://www.buscape.com.br/smartphone-tp-link-neffos-c5;dual;1280 x 720;5.0;neffos c5;2.0;;530.91;5.0 megapixels frontal;tp-link;16.0
;;http://www.buscape.com.br/smartphone-blu-studio-5-0-ce-d536;;;;5.0 ce d536;;studio;439.0;;blu;
13.0 megapixels;;http://www.buscape.com.br/smartphone-alcatel-idol-4;;1920 x 1080;5.2;idol 4;3.0;;1204.76;8.0 megapixels frontal;alcatel;16.0
1.3 megapixels;;http://www.buscape.com.br/celular-blu-jenny-tv-2-8-t176t;dual;240 x 320;2.8;jenny tv 2.8 t176t;;;236.55;;blu;
5.0 megapixels;1.0;http://www.buscape.com.br/celular-nokia-asha-300;;;2.4;300;;asha;283.0;;nokia;
;;http://www.buscape.com.br/celular-nokia-105;single;128 x 128;1.45;105;;;185.9;;nokia;
13.0 megapixels;2.5;http://www.buscape.com.br/smartphone-asus-zenfone-2-deluxe-special-edition;dual;1920 x 1080;5.5;2 deluxe special edition;4.0;zenfone;2469.9;5.0 megapixels frontal;asus;256.0
;;http://www.buscape.com.br/celular-bright-one-0405;;;;one 0405;;;99.9;;bright;
13.0 megapixels;;http://www.buscape.com.br/smartphone-tp-link-neffos-c5-max;dual;1920 x 1080;5.5;neffos c5 max;2.0;;629.91;5.0 megapixels frontal;tp-link;16.0
5.0 megapixels;1.0;http://www.buscape.com.br/smartphone-blackberry-q5;single;720 x 720;3.1;q5;;;1420.0;2.0 megapixels frontal;blackberry;2.0
;;http://www.buscape.com.br/celular-multilaser-p3274;;;;p3274;;;72.9;;multilaser;
;;http://www.buscape.com.br/celular-lenoxx-sound-cx-903;;;;cx-903;;;99.9;;lenoxx sound;
;;http://www.buscape.com.br/celular-samsung-pusha-2sim-gt-e1500;;;;pusha 2sim gt-e1500;;;149.9;;samsung;
;;http://www.buscape.com.br/celular-mox-w33;;;;w33;;;207.52;;mox;
;;http://www.buscape.com.br/celular-mox-m17;;;;m17;;;79.9;;mox;
;;http://www.buscape.com.br/smartphone-blu-blu-vivo-iv-d970l;;;;blu vivo iv d970l;;;1042.1;;blu;
;;http://www.buscape.com.br/celular-multilaser-max-ii;;;;max ii;;;156.9;;multilaser;
;;http://www.buscape.com.br/celular-blu-tank-ii-t193;;;;tank ii t193;;;141.55;;blu;
;;http://www.buscape.com.br/celular-bright-one-0417;;;;one 0417;;;99.9;;bright;
;;http://www.buscape.com.br/smartphone-dl-yzu-ds4;;;;yzu ds4;;;269.9;;dl;
5.0 megapixels;;http://www.buscape.com.br/smartphone-qbex-joy;dual;800 x 480;4.0;joy;1.0;;199.0;2.0 megapixels frontal;qbex;8.0
5.0 megapixels;1.3;http://www.buscape.com.br/smartphone-qbex-snap-x;;960 x 540;4.5;snap-x;1.0;;333.32;2.0 megapixels frontal;qbex;8.0
13.0 megapixels;1.25;http://www.buscape.com.br/smartphone-quantum-you-l;dual;1280 x 720;5.0;you l;2.0;;650.91;8.0 megapixels frontal;quantum;32.0
8.0 megapixels;1.4;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-s-iii-gt-i9300.html;single;720 x 1280;4.8;s iii gt-i9300;;galaxy;1321.0;1.9 megapixels frontal;samsung;16.0
8.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-apple-iphone-5-16gb.html;single;1136 x 640;4.0;5 16gb;;iphone;2174.0;1.2 megapixels frontal;apple;16.0
8.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-motorola-moto-g-2-geracao-dtv-colors-xt1069-16-gb.html;dual;720 x 1280;5.0;2ª geração dtv colors xt1069 16 gb;;moto g;;2.0 megapixels frontal;motorola;16.0
8.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-apple-iphone-4s-16gb.html;single;960 x 640;3.5;4s 16gb;;iphone;;vga;apple;16.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-gt-s5360.html;;320 x 240;3.0;gt-s5360;;galaxy;;;samsung;
13.0 megapixels;1.9;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-s4-gt-i9505.html;single;1080 x 1920;5.0;s4 gt-i9505;;galaxy;;2.0 megapixels frontal;samsung;
3.2 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-duos-gt-s6102.html;dual;240 x 320;3.14;duos gt-s6102;;galaxy;544.0;;samsung;
8.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-grand-duos-gt-i9082l.html;dual;480 x 800;5.1;duos gt-i9082l;;galaxy grand;1109.0;2.0 megapixels frontal;samsung;8.0
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-motorola-moto-g-xt1033-16-gb.html;dual;1280 x 720;4.5;xt1033 16 gb;;moto g;878.0;1.3 megapixels frontal;motorola;16.0
16.0 megapixels;2.5;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-s5-sm-g900.html;single;1920 x 1080;5.1;s5 sm-g900;;galaxy;2303.0;2.0 megapixels frontal;samsung;16.0
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-s-iii-mini-gt-i8190.html;single;480 x 800;4.0;s iii mini gt-i8190;;galaxy;827.0;vga;samsung;
8.0 megapixels;1.7;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-s4-mini-gt-i9192.html;dual;960 x 540;4.27;s4 mini gt-i9192;;galaxy;1307.0;1.9 megapixels frontal;samsung;8.0
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-nokia-lumia-520.html;single;480 x 800;4.0;520;;lumia;;;nokia;8.0
8.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-gran-prime-tv-sm-g530.html;dual;540 x 960;5.0;tv sm-g530;1.0;galaxy gran prime;;5.0 megapixels frontal;samsung;8.0
8.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-s-ii-gt-i9100.html;single;480 x 800;4.3;s ii gt-i9100;;galaxy;;2.0 megapixels frontal;samsung;16.0
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-win-duos-gt-i8552.html;dual;480 x 800;4.66;duos gt-i8552;;galaxy win;;0.3 megapixels frontal;samsung;8.0
8.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-motorola-moto-g-2-geracao-xt1068-8-gb.html;dual;720 x 1280;5.0;2ª geração xt1068 8 gb;;moto g;759.0;2.0 megapixels frontal;motorola;8.0
8.0 megapixels;1.6;http://www.buscape.com.br/detalhes--smartphone-asus-zenfone-5-z2560-8gb.html;dual;1280 x 720;5.0;5 z2560 8gb;;zenfone;;2.0 megapixels frontal;asus;8.0
5.0 megapixels;;http://www.buscape.com.br/detalhes--celular-nokia-n95.html;single;240 x 320;2.6;n95;;;;0.1 megapixels frontal;nokia;
8.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-motorola-razr-d3-xt920.html;dual;480 x 800;4.0;d3 xt920;;razr;;1.2 megapixels frontal;motorola;4.0
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-apple-iphone-4-8gb.html;single;640 x 960;3.5;4 8gb;;iphone;;vga;apple;8.0
13.0 megapixels;2.5;http://www.buscape.com.br/detalhes--smartphone-motorola-moto-x-2-geracao-xt1097-32-gb.html;single;1920 x 1080;5.2;2ª geração xt1097 32 gb;2.0;moto x;;2.0 megapixels frontal;motorola;32.0
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-motorola-razr-d1-xt918.html;dual;;3.5;d1 xt918;;razr;;;motorola;4.0
8.0 megapixels;1.3;http://www.buscape.com.br/detalhes--smartphone-lg-l-prime-d337.html;single;480 x 854;5.0;l prime d337;;;;1.3 megapixels frontal;lg;8.0
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-ace-gt-s5830.html;single;320 x 480;3.5;gt-s5830;;galaxy ace;530.0;;samsung;
2.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-5-gt-i5500.html;single;240 x 320;2.8;5 gt-i5500;;galaxy;;;samsung;
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-nokia-lumia-630.html;dual;;4.5;630;;lumia;;;nokia;8.0
8.0 megapixels;2.0;http://www.buscape.com.br/detalhes--smartphone-motorola-razr-i-xt890.html;single;540 x 960;4.3;xt890;;razr i;;0.3 megapixels frontal;motorola;8.0
3.0 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-cookie-kp570.html;single;240 x 400;3.0;cookie kp570;;;;;lg;
13.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-s4-gt-i9500.html;single;1080 x 1920;5.0;s4 gt-i9500;;galaxy;1833.0;2.0 megapixels frontal;samsung;
13.0 megapixels;2.26;http://www.buscape.com.br/detalhes--smartphone-lg-g2-d805.html;single;1080 x 1920;5.2;d805;;g2;949.0;2.1 megapixels frontal;lg;16.0
8.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-apple-iphone-4s-8gb.html;single;960 x 640;3.5;4s 8gb;;iphone;;vga;apple;8.0
8.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-asus-zenfone-5-z2520-8gb.html;dual;1280 x 720;5.0;5 z2520 8gb;;zenfone;;2.0 megapixels frontal;asus;8.0
3.0 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-ex115.html;dual;320 x 240;2.3;ex115;;;758.0;;motorola;
10.0 megapixels;1.7;http://www.buscape.com.br/detalhes--smartphone-motorola-moto-x-xt1058.html;;1280 x 720;4.7;xt1058;;moto x;;2.0 megapixels frontal;motorola;16.0
8.0 megapixels;1.6;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-note-ii-n7100.html;;1280 x 720;5.5;ii n7100;;galaxy note;1800.0;1.9 megapixels frontal;samsung;16.0
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-ace-duos-gt-s6802.html;dual;320 x 480;3.5;duos gt-s6802;;galaxy ace;;;samsung;3.0
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-s-ii-lite-gt-i9070.html;;480 x 800;4.0;s ii lite gt-i9070;;galaxy;;1.3 megapixels frontal;samsung;8.0
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-l5-e615.html;dual;320 x 480;4.0;l5 e615;;optimus;;;lg;4.0
5.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-lg-optimus-l7.html;single;800 x 480;4.3;l7;;optimus;;;lg;4.0
20.7 megapixels;2.2;http://www.buscape.com.br/detalhes--smartphone-sony-xperia-z1.html;;1080 x 1920;5.0;z1;;xperia;;2.0 megapixels frontal;sony;16.0
2.0 megapixels;;http://www.buscape.com.br/detalhes--nokia-asha-305.html;dual;240 x 400;3.0;305;;asha;;;nokia;
8.7 megapixels;1.5;http://www.buscape.com.br/detalhes--smartphone-nokia-lumia-920-com-windows-phone.html;;1280 x 768;4.5;920 com windows phone;;lumia;1171.0;;nokia;32.0
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-microsoft-lumia-535.html;dual;960 x 540;5.0;535;;lumia;;;microsoft;8.0
8.0 megapixels;1.3;http://www.buscape.com.br/detalhes--smartphone-apple-iphone-5-32gb.html;single;1136 x 640;4.0;5 32gb;;iphone;;1.2 megapixels frontal;apple;
8.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-gran-2-duos-tv-sm-g7102t.html;dual;1280 x 720;5.25;2 duos tv sm-g7102t;;galaxy gran;1119.0;1.9 megapixels frontal;samsung;8.0
5.0 megapixels;1.4;http://www.buscape.com.br/detalhes--smartphone-nokia-lumia-710.html;single;480 x 800;3.7;710;;lumia;;;nokia;8.0
8.0 megapixels;1.6;http://www.buscape.com.br/detalhes--smartphone-asus-zenfone-5-z2560-16gb.html;dual;1280 x 720;5.0;5 z2560 16gb;;zenfone;;2.0 megapixels frontal;asus;16.0
0.3 megapixels;;http://www.buscape.com.br/detalhes--celular-motorola-v3.html;single;176 x 220;;v3;;;;;motorola;
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-motorola-moto-e-dtv-colors-xt1025.html;dual;540 x 960;4.3;dtv colors xt1025;;moto e;;;motorola;4.0
5.0 megapixels;;http://www.buscape.com.br/detalhes--nokia-c5-03.html;single;360 x 640;3.2;c5-03;;;;;nokia;
6.7 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-nokia-lumia-730.html;dual;1280 x 720;4.7;730;;lumia;649.0;5.0 megapixels frontal;nokia;8.0
1.3 megapixels;;http://www.buscape.com.br/detalhes--celular-lg-gx200.html;dual;176 x 220;2.0;gx200;;;;;lg;
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-nokia-lumia-530.html;dual;854 x 480;4.0;530;;lumia;;;nokia;4.0
8.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-lg-l90-d410.html;dual;960 x 540;4.7;l90 d410;;;2035.0;;lg;8.0
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-motorola-moto-g-xt1033-8-gb.html;dual;1280 x 720;4.5;xt1033 8 gb;;moto g;;1.3 megapixels frontal;motorola;8.0
;;http://www.buscape.com.br/detalhes--celular-nokia-x1-01.html;dual;128 x 160;1.8;x1-01;;;;;nokia;
13.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-microsoft-lumia-640-xl.html;dual;1280 x 720;5.7;640 xl;;lumia;;5.0 megapixels frontal;microsoft;8.0
8.0 megapixels;1.4;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-s5-mini-duos-sm-g800.html;dual;720 x 1280;4.5;s5 mini duos sm-g800;;galaxy;;2.1 megapixels frontal;samsung;16.0
13.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-a5-sm-a500m.html;dual;1280 x 720;5.0;a5 sm-a500m;;galaxy;;5.0 megapixels frontal;samsung;
8.0 megapixels;1.4;http://www.buscape.com.br/detalhes--smartphone-nokia-lumia-800.html;single;800 x 480;3.7;800;;lumia;652.0;;nokia;16.0
3.2 megapixels;;http://www.buscape.com.br/detalhes--celular-samsung-star-gt-s5230.html;single;240 x 400;3.0;gt-s5230;;star;;;samsung;
12.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-nokia-n8.html;single;360 x 640;3.5;n8;;;900.0;0.3 megapixels frontal;nokia;16.0
8.0 megapixels;1.4;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-note-gt-n7000.html;single;800 x 1280;5.3;gt-n7000;;galaxy note;;2.0 megapixels frontal;samsung;16.0
5.0 megapixels;1.0;http://www.buscape.com.br/detalhes--smartphone-apple-iphone-4-16gb.html;single;960 x 640;3.5;4 16gb;;iphone;;0.3 megapixels frontal;apple;16.0
8.0 megapixels;;http://www.buscape.com.br/detalhes--smartphone-lg-l70-d325.html;;480 x 800;4.5;l70 d325;;;;;lg;4.0
5.0 megapixels;1.2;http://www.buscape.com.br/detalhes--smartphone-samsung-galaxy-win-2-duos-sm-g360b.html;dual;480 x 800;4.5;2 duos sm-g360b;;galaxy win;609.0;2.0 megapixels frontal;samsung;8.0
