camera_traseira;velocidade_do_processador;url;chips;resolucao;tamanho_da_tela;modelo;memoria_ram;linha;preco;camera_frontal;marca;memoria_interna
;;http://www.buscape.com.br/celular-dl-yc-230;dual;128 x 160;1.7;yc-230;;;98.01;;dl;
16.0 megapixels;2.1;http://www.buscape.com.br/smartphone-samsung-galaxy-s6-edge-sm-g925-32gb;;2560 x 1440;5.1;s6 edge sm-g925 32gb;;galaxy;1879.06;5.0 megapixels frontal;samsung;32.0
16.0 megapixels;2.1;http://www.buscape.com.br/smartphone-samsung-galaxy-s6-edge-sm-g925-64gb;;2560 x 1440;5.1;s6 edge sm-g925 64gb;;galaxy;2299.9;5.0 megapixels frontal;samsung;64.0
5.0 megapixels;1.3;http://www.buscape.com.br/smartphone-positivo-selfie-s455;dual;854 x 480;4.5;selfie s455;;;319.9;8.0 megapixels frontal;positivo;8.0
16.0 megapixels;1.4;http://www.buscape.com.br/smartphone-asus-zenfone-3-max-zc553kl-3gb;dual;1920 x 1080;5.5;3 max zc553kl 3gb;3.0;zenfone;1198.48;8.0 megapixels frontal;asus;32.0
12.0 megapixels;;http://www.buscape.com.br/smartphone-apple-iphone-se-64gb;single;1136 x 640;4.0;se 64gb;2.0;iphone;2023.91;1.2 megapixels frontal;apple;64.0
13.0 megapixels;1.5;http://www.buscape.com.br/smartphone-samsung-galaxy-a3-sm-a310m;dual;720 x 1280;4.7;a3 sm-a310m;1.5;galaxy;761.9;5.0 megapixels frontal;samsung;16.0
13.0 megapixels;1.8;http://www.buscape.com.br/smartphone-motorola-moto-z-xt1650-style-edition;dual;2560 x 1440;5.5;xt1650 style edition;4.0;moto z;1798.0;5.0 megapixels frontal;motorola;64.0
16.0 megapixels;1.4;http://www.buscape.com.br/smartphone-asus-zenfone-3-max-zc553kl-2gb;dual;1920 x 1080;5.5;3 max zc553kl 2gb;2.0;zenfone;849.0;8.0 megapixels frontal;asus;32.0
8.0 megapixels;1.3;http://www.buscape.com.br/smartphone-positivo-twist-m;;854 x 480;5.0;twist m;1.0;;334.54;5.0 megapixels frontal;positivo;
16.0 megapixels;2.0;http://www.buscape.com.br/smartphone-motorola-moto-z-play-xt1635-hasselblad-edition;;1920 x 1080;5.5;play xt1635;3.0;moto z;1898.0;5.0 megapixels frontal;motorola;32.0
;;http://www.buscape.com.br/celular-freecel-free-cross;;;;free cross;;;80.66;;freecel;
;;http://www.buscape.com.br/celular-alcatel-ot-1045d;;;;ot-1045d;;;89.9;;alcatel;
16.0 megapixels;2.1;http://www.buscape.com.br/smartphone-quantum-fly;dual;1920 x 1080;5.2;fly;3.0;;999.0;8.0 megapixels frontal;quantum;32.0
13.0 megapixels;1.3;http://www.buscape.com.br/smartphone-quantum-muv-up;dual;1280 x 720;5.5;müv up;3.0;;999.0;13.0 megapixels frontal;quantum;32.0
;;http://www.buscape.com.br/celular-multilaser-flip-vita;;;;flip vita;;;193.72;;multilaser;
;;http://www.buscape.com.br/celular-multilaser-vita-ii-p9016;;;;p9016;;vita ii;166.16;;multilaser;
12.0 megapixels;;http://www.buscape.com.br/smartphone-apple-iphone-7-plus-256gb-special-edition-red;single;1920 x 1080;5.5;7 plus 256gb;2.0;iphone;4310.68;7 megapixels frontal;apple;256.0
;;http://www.buscape.com.br/celular-blu-blu-jenny-tv-t276t;;;;blu jenny tv t276t;;;137.75;;blu;
;;http://www.buscape.com.br/celular-bright-0418;;;;0418;;;81.09;;bright;
;;http://www.buscape.com.br/celular-blu-z3;;;;z3;;;94.35;;blu;
8.0 megapixels;;http://www.buscape.com.br/smartphone-alcatel-u3-4055j;dual;800 x 480;4.0;u3 4055j;1.0;;369.55;5.0 megapixels frontal;alcatel;8.0
8.0 megapixels;;http://www.buscape.com.br/smartphone-positivo-twist-xl-s555;dual;1280 x 720;5.5;twist xl s555;1.0;;530.87;5.0 megapixels frontal;positivo;16.0
13.0 megapixels;1.25;http://www.buscape.com.br/smartphone-quantum-you;dual;1280 x 720;5.0;you;3.0;;889.01;13.0 megapixels frontal;quantum;32.0
12.0 megapixels;2.2;http://www.buscape.com.br/smartphone-motorola-moto-z-2-play-xt1710-projector-edition;;1920 x 1080;5.5;2 play xt1710 projector edition;4.0;moto z;2375.12;5.0 megapixels frontal;motorola;64.0
12.0 megapixels;2.2;http://www.buscape.com.br/smartphone-motorola-moto-z-2-play-xt1710-hasselblad-true-zoom-edition;;1920 x 1080;5.5;2 play xt1710 hasselblad true zoom edition;4.0;moto z;2375.12;5.0 megapixels frontal;motorola;64.0
13.0 megapixels;1.4;http://www.buscape.com.br/smartphone-motorola-moto-g-3-geracao-hdtv-xt1544-16gb;dual;1280 x 720;5.0;3ª geração hdtv xt1544 16gb;1.0;moto g;799.0;5.0 megapixels frontal;motorola;16.0
5.0 megapixels;;http://www.buscape.com.br/smartphone-lenovo-vibe-k5;dual;1920 x 1080;5.0;vibe k5;2.0;;909.9;13.0 megapixels frontal;lenovo;16.0
20.7 megapixels;2.5;http://www.buscape.com.br/smartphone-sony-xperia-z3-compact-d5833;;1280 x 720;4.6;z3 compact d5833;;xperia;1784.15;;sony;
13.0 megapixels;2.3;http://www.buscape.com.br/smartphone-asus-zenfone-2-ze551ml-32gb-z3580;dual;1920 x 1080;5.5;2 ze551ml 32gb z3580;4.0;zenfone;999.9;5.0 megapixels frontal;asus;32.0
21 megapixels;;http://www.buscape.com.br/smartphone-motorola-moto-x-play-xt1563-16gb;dual;;5.5;play xt1563 16gb;2.0;moto x;1099.0;5.0 megapixels frontal;motorola;16.0
13.0 megapixels;1.2;http://www.buscape.com.br/smartphone-samsung-galaxy-on7-sm-g600;dual;1280 x 720;5.5;sm-g600;;galaxy on7;688.89;5.0 megapixels frontal;samsung;8.0
2.0 megapixels;;http://www.buscape.com.br/celular-motorola-ex117;tri;220 x 176;2.0;ex117;;;80.1;;motorola;
16.0 megapixels;3.6;http://www.buscape.com.br/smartphone-samsung-galaxy-s6-edge-plus-sm-g928-32gb;;2560 x 1440;5.7;s6 edge+ plus sm-g928 32gb;;galaxy;2389.9;5.0 megapixels frontal;samsung;32.0
8.0 megapixels;1.2;http://www.buscape.com.br/smartphone-motorola-moto-g-4-play-xt1600;dual;1280 x 720;5.0;4 play xt1600;2.0;moto g;698.95;5.0 megapixels frontal;motorola;16.0
13.0 megapixels;1.8;http://www.buscape.com.br/smartphone-asus-zenfone-2-ze551ml-16gb-z3560;dual;1920 x 1080;5.5;2 ze551ml 16gb z3560;4.0;zenfone;1043.69;5.0 megapixels frontal;asus;16.0
12.0 megapixels;;http://www.buscape.com.br/smartphone-apple-iphone-6s-plus-16gb;single;1920 x 1080;5.5;6s plus 16gb;;iphone;2799.0;5.0 megapixels frontal;apple;16.0
21.5 megapixels;;http://www.buscape.com.br/smartphone-sony-xperia-xa-ultra;single;1920 x 1080;6.0;xa ultra;3.0;xperia;1673.91;16 megapixels frontal;sony;16.0
23 megapixels;;http://www.buscape.com.br/smartphone-sony-xperia-z5-premium;single;3840 x 2160;5.5;z5 premium;;xperia;1949.0;5.0 megapixels frontal;sony;32.0
8.0 megapixels;;http://www.buscape.com.br/smartphone-blackberry-z30;single;720 x 1280;5.0;z30;;;649.99;2.0 megapixels frontal;blackberry;16.0
12.0 megapixels;2.0;http://www.buscape.com.br/smartphone-asus-zenfone-3-zoom-64gb;dual;1920 x 1080;5.5;3 zoom 64gb;4.0;zenfone;1979.91;13.0 megapixels frontal;asus;64.0
16.0 megapixels;2.0;http://www.buscape.com.br/smartphone-motorola-moto-z-play-xt1635-projector-edition;;1920 x 1080;5.5;play xt1635;3.0;moto z;2449.0;5.0 megapixels frontal;motorola;32.0
